Handle,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price
100-castor-oil-2oz,Title,Default Title,,,,,65324No ColorOS,12,
8-pack-hair-coils-brunette,Title,Default Title,,,,,5119NCOS,12,
adjustable-oversized-satin-bonnet-aura,Title,Default Title,,,,,69933No ColorOS,22,
adjustable-oversized-satin-bonnet-blush,Title,Default Title,,,,,69919No ColorOS,22,
adjustable-oversized-satin-bonnet-charcoal,Title,Default Title,,,,,69926No ColorOS,22,
adjustable-oversized-satin-bonnet-haze-blue,Title,Default Title,,,,,69940No ColorOS,22,
african-net-sponge-aqua-grey,Title,Default Title,,,,,507736,10,
african-net-sponge-berry-pink,Title,Default Title,,,,,507712,10,
african-net-sponge-rosewood,Title,Default Title,,,,,507705,10,
all-dressed-up-rhinestone-bobby-pins-4pc-set,Title,Default Title,,,,,64662No ColorOS,10,
amber-shores-cleansing-body-wash-bar,Title,Default Title,,,,,506425,8,
amber-shores-hair-perfume,Title,Default Title,,,,,69858No ColorOS,20,
assorted-satin-sleep-scrunchies,Title,Default Title,,,,,5427NCONE SIZE,10,
assorted-textured-scrunchies-5pc-black,Title,Default Title,,,,,5922NCOS,10,
assorted-textured-scrunchies-5pc-set-terracotta,Title,Default Title,,,,,5379 NWNCOS,10,
banana-clip-2pc-black-and-tort,Title,Default Title,,,,,60022No ColorOS,15,
basics-hair-ties-1,Title,Default Title,,,,,4187NCOS,7,
black-active-headbands,Title,Default Title,,,,,505718,10,
black-cat-lace-headband-mask,Title,Default Title,,,,,500690,12,
black-chocolate-oversized-scrunchies,Title,Default Title,,,,,503349,12,
black-chocolate-satin-velvet-headbands,Title,Default Title,,,,,503813,14,
black-flat-cloud-clip-large,Title,Default Title,,,,,503561,10,
black-flat-cloud-clip-medium,Title,Default Title,,,,,503578,9,
black-flat-cloud-clip-small,Title,Default Title,,,,,503585,8,
black-lymphatic-contour-face-brush,Title,Default Title,,,,,515595,10,
black-petal-hair-elastics,Title,Default Title,,,,,508726,10,
black-ribbed-hair-elastics,Title,Default Title,,,,,508757,10,
black-rosette-ruched-satin-scrunchies,Title,Default Title,,,,,508559,14,
black-ruffle-scrunchie,Title,Default Title,,,,,503332,14,
black-satin-ultra-petite-scrunchies-6pc-set,Title,Default Title,,,,,509679,10,
black-seamless-hair-elastics-8pc-set,Title,Default Title,,,,,68899No ColorOS,8,
black-set-flow-active-headband,Title,Default Title,,,,,506463,28,
black-smooth-polish-brush,Title,Default Title,,,,,505763,22,
black-tort-cloud-cuffs-medium,Title,Default Title,,,,,500928,9,
black-tort-cloud-cuffs-small,Title,Default Title,,,,,502731,8,
black-tort-micro-cloud-clip-set,Title,Default Title,,,,,502748,12,
blue-orchid-chiffon-bow-hair-clip,Title,Default Title,,,,,69346No ColorOS,10,
blue-orchid-cloud-claw-clip-medium,Title,Default Title,,,,,68875No ColorOS,8,
blue-orchid-flat-cloud-clip-large,Title,Default Title,,,,,69018No ColorOS,10,
blush-contour-pillow-eye-mask,Title,Default Title,,,,,69124,35,
blush-petal-hair-elastics,Title,Default Title,,,,,508733,10,
blush-ribbed-hair-elastics,Title,Default Title,,,,,508764,12,
body-dry-brush,Title,Default Title,,,,,8312No ColorOS,20,
body-wash-beauty-bar-bag-chocolate,Title,Default Title,,,,,60534NCOS,5,
bond-repair-solid-treatment,Title,Default Title,,,,,61593No ColorOS,20,
bottle-free-beauty-bar-bag-blush,Title,Default Title,,,,,5496NCOS,5,
bottle-free-beauty-bar-bag-coral,Title,Default Title,,,,,5632NCOS,6,
bottle-free-beauty-bar-conditioner-bag-black,Title,Default Title,,,,,5977NCOS,6,
bridgerton-x-kitsch-breathable-satin-bonnet-garden-toile,Title,Default Title,,,,,507422,24,
bridgerton-x-kitsch-king-satin-pillowcase-garden-toile,Title,Default Title,,,,,507385,28,
bridgerton-x-kitsch-king-satin-pillowcase-wisteria,Title,Default Title,,,,,507408,28,
bridgerton-x-kitsch-pillow-scrunchies-r-in-satin-2pc-set-toile-in-bloom,Title,Default Title,,,,,507439,23,
bridgerton-x-kitsch-recycled-plastic-creaseless-clips-4pc-set-toile-in-bloom,Title,Default Title,,,,,508900,16,
