handle,product_gid,status,variant_gid,variant_title,sku,live_price,live_compare_at
friends-forever-necklace-earring-set,gid://shopify/Product/1989772214336,DRAFT,gid://shopify/ProductVariant/31513251282978,NC / OS,4996NCOS,22.62,29
open-shape-claw-clip-gold,gid://shopify/Product/1989935333440,ACTIVE,gid://shopify/ProductVariant/31484800630818,Default Title,8431NCOS,9,9
brunette-hair-coils,gid://shopify/Product/1989936119872,DRAFT,gid://shopify/ProductVariant/31497098264610,Default Title,8080NCOS,5.99,5.99
luxe-shower-cap-black-and-white-stripe,gid://shopify/Product/1990052544576,ACTIVE,gid://shopify/ProductVariant/31491150184482,Default Title,0835NCOS,29,29
kitsch-luxe-shower-cap-blush-dot,gid://shopify/Product/1990060343360,ACTIVE,gid://shopify/ProductVariant/31491147956258,Default Title,0842NCOS,29,29
no-snag-elastic-black,gid://shopify/Product/1990110347328,ACTIVE,gid://shopify/ProductVariant/31506639487010,Default Title,1337NCONE SIZE,6,6
kitsch-pro-no-snag-mini-gummy-elastic,gid://shopify/Product/1990110642240,ACTIVE,gid://shopify/ProductVariant/31497084502050,Default Title,1351NCONE SIZE,6,6
essential-bobby-pin-blonde,gid://shopify/Product/1990111789120,ACTIVE,gid://shopify/ProductVariant/31506597806114,Default Title,1412NCONE SIZE,5,5
essential-bobby-pin-tortoise,gid://shopify/Product/1990111952960,ACTIVE,gid://shopify/ProductVariant/31506408570914,Default Title,1405NCONE SIZE,5,5
essential-bobby-pin-black,gid://shopify/Product/1990112215104,ACTIVE,gid://shopify/ProductVariant/31506592006178,Default Title,1399NCONE SIZE,5,5
xl-styling-clip-rose-gold,gid://shopify/Product/1990115819584,DRAFT,gid://shopify/ProductVariant/31504376954914,Default Title,1566NCONE SIZE,7.02,9
satin-sleep-scrunchie-black,gid://shopify/Product/1990116769856,ACTIVE,gid://shopify/ProductVariant/31484803186722,Default Title,1627NCONE SIZE,10,10
no-snag-elastic-brown,gid://shopify/Product/1990118441024,ACTIVE,gid://shopify/ProductVariant/31504460349474,Default Title,1344NCONE SIZE,6,6
no-slip-crocodile-clip-gold,gid://shopify/Product/1990121816128,ACTIVE,gid://shopify/ProductVariant/31497089941538,Default Title,4215NCONE SIZE,8,8
styling-clip-rose-gold,gid://shopify/Product/1990122045504,ACTIVE,gid://shopify/ProductVariant/31499171102754,Default Title,1542NCOS,10,10
velvet-scrunchies-blush-mauve,gid://shopify/Product/1990129451072,ACTIVE,gid://shopify/ProductVariant/31494369640482,Default Title,3188NCOS,10,10
